Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-SMG4","HyperledgerTestStack/IntegrationTestNetwork/AdminPassword/Resource","Suppressed","Secrets created for Managed Blockchain users do not support auto-rotation","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-SMG4","HyperledgerTestStack/IntegrationTestNetwork/AdminPrivateKey/Resource","Suppressed","Secrets created for Managed Blockchain users do not support auto-rotation","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-SMG4","HyperledgerTestStack/IntegrationTestNetwork/AdminSignedCert/Resource","Suppressed","Secrets created for Managed Blockchain users do not support auto-rotation","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/Node0/ConfigureNodeLogResource/CustomResourcePolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/Node0/NodeDataResource/CustomResourcePolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/Node1/ConfigureNodeLogResource/CustomResourcePolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/Node1/NodeDataResource/CustomResourcePolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/NetworkDataResource/CustomResourcePolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/MemberDataResource/CustomResourcePolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/ConfigureCaLogResource/CustomResourcePolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-VPC7","HyperledgerTestStack/IntegrationTestNetwork/NetworkClient/ClientVpc/Resource","Compliant","N/A","Error","The VPC does not have an associated Flow Log."
"AwsSolutions-IAM4","HyperledgerTestStack/IntegrationTestNetwork/NetworkClient/ClientVpc/FlowLog/IAMRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/NetworkClient/ClientVpc/FlowLog/IAMRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/NetworkClient/ClientVpc/FlowLog/IAMRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-EC23","HyperledgerTestStack/IntegrationTestNetwork/NetworkClient/ClientVpc/NetworkEndpoint/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","HyperledgerTestStack/IntegrationTestNetwork/NetworkClient/ClientVpc/NetworkEndpoint/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","HyperledgerTestStack/IntegrationTestNetwork/NetworkClient/ClientVpc/NetworkEndpoint/SecurityGroup/from HyperledgerTestStackIntegrationTestNetworkIdentityAdminFunctionSecurityGroup7277D804:30001-30004","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","HyperledgerTestStack/IntegrationTestNetwork/NetworkClient/ClientVpc/NetworkEndpoint/SecurityGroup/from HyperledgerTestStackIntegrationTestNetworkUserFunctionSecurityGroup4101B7CC:30001-30004","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","HyperledgerTestStack/IntegrationTestNetwork/NetworkClient/ClientVpc/SecretsManagerEndpoint/SecurityGroup/Resource","UNKNOWN","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","HyperledgerTestStack/IntegrationTestNetwork/NetworkClient/ClientVpc/SecretsManagerEndpoint/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-IAM4","HyperledgerTestStack/IntegrationTestNetwork/Identity/CustomResourceRole/Resource","Suppressed","The CDK custom resource framework uses a managed policy for its Lambda","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","HyperledgerTestStack/IntegrationTestNetwork/Identity/CustomResourceRole/Resource","Suppressed","The CDK custom resource framework uses a managed policy for its Lambda","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/Identity/CustomResourceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/Identity/CustomResourceRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-EC23","HyperledgerTestStack/IntegrationTestNetwork/Identity/AdminFunction/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","HyperledgerTestStack/IntegrationTestNetwork/Identity/AdminFunction/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-L1","HyperledgerTestStack/IntegrationTestNetwork/Identity/AdminFunction/Resource","Non-Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","HyperledgerTestStack/IntegrationTestNetwork/Identity/AdminProvider/framework-onEvent/ServiceRole/Resource","Suppressed","The CDK custom resource framework uses a managed policy for its Lambda","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/Identity/AdminProvider/framework-onEvent/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/Identity/AdminProvider/framework-onEvent/ServiceRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","HyperledgerTestStack/IntegrationTestNetwork/Identity/AdminProvider/framework-onEvent/Resource","Non-Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-EC23","HyperledgerTestStack/IntegrationTestNetwork/UserFunction/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","HyperledgerTestStack/IntegrationTestNetwork/UserFunction/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-L1","HyperledgerTestStack/IntegrationTestNetwork/UserFunction/Resource","Non-Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","HyperledgerTestStack/IntegrationTestNetwork/UserProvider/framework-onEvent/ServiceRole/Resource","Suppressed","The CDK custom resource framework uses a managed policy for its Lambda","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","HyperledgerTestStack/IntegrationTestNetwork/UserProvider/framework-onEvent/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
